iter	Passed	Remaining
0	133	133276
1	135	67407
2	136	45474
3	138	34502
4	140	27907
5	141	23499
6	143	20363
7	145	18003
8	147	16193
9	148	14741
10	150	13567
11	152	12571
12	154	11721
13	156	10996
14	157	10366
15	159	9814
16	161	9329
17	163	8900
18	164	8511
19	166	8160
20	168	7848
21	170	7569
22	172	7307
23	173	7068
24	175	6848
25	177	6642
26	178	6445
27	180	6267
28	182	6100
29	183	5947
30	185	5802
31	187	5666
32	189	5539
33	190	5418
34	192	5304
35	194	5200
36	195	5098
37	197	4999
38	199	4909
39	200	4811
40	201	4719
41	203	4633
42	204	4552
43	205	4473
44	206	4392
45	208	4316
46	209	4243
47	210	4172
48	211	4103
49	212	4038
50	213	3974
51	214	3911
52	215	3851
53	216	3794
54	217	3739
55	218	3688
56	219	3637
57	220	3588
58	221	3539
59	222	3491
60	223	3445
61	224	3401
62	225	3358
63	226	3317
64	227	3276
65	228	3236
66	229	3198
67	230	3155
68	231	3119
69	232	3085
70	233	3051
71	234	3018
72	235	2985
73	236	2953
74	236	2922
75	237	2891
76	238	2862
77	239	2834
78	240	2806
79	241	2778
80	242	2750
81	243	2724
82	244	2698
83	245	2672
84	245	2644
85	246	2620
86	247	2593
87	248	2571
88	248	2548
89	249	2527
90	250	2505
91	251	2484
92	252	2463
93	253	2444
94	254	2424
95	255	2405
96	256	2385
97	257	2366
98	258	2348
99	258	2330
100	259	2312
101	260	2291
102	261	2274
103	262	2257
104	263	2242
105	264	2226
106	264	2210
107	265	2194
108	266	2179
109	267	2164
110	268	2149
111	269	2134
112	270	2120
113	270	2105
114	271	2091
115	272	2076
116	273	2063
117	274	2050
118	274	2035
119	275	2022
120	276	2010
121	277	1998
122	278	1983
123	279	1971
124	280	1960
125	280	1948
126	281	1937
127	282	1924
128	283	1912
129	284	1901
130	285	1890
131	285	1880
132	286	1870
133	287	1859
134	288	1850
135	289	1840
136	290	1830
137	291	1819
138	292	1810
139	293	1800
140	294	1791
141	294	1781
142	295	1772
143	296	1763
144	297	1754
145	298	1745
146	299	1736
147	300	1728
148	301	1719
149	302	1711
150	302	1703
151	303	1695
152	304	1687
153	305	1679
154	306	1671
155	307	1663
156	308	1655
157	309	1647
158	309	1639
159	310	1631
160	311	1624
161	312	1617
162	313	1609
163	314	1602
164	315	1595
165	316	1588
166	317	1581
167	318	1574
168	318	1568
169	319	1561
170	320	1554
171	321	1547
172	322	1540
173	323	1534
174	324	1527
175	324	1521
176	325	1514
177	326	1508
178	327	1502
179	328	1496
180	328	1487
181	329	1481
182	330	1476
183	331	1470
184	332	1464
185	333	1459
186	334	1453
187	335	1447
188	336	1441
189	336	1436
190	337	1430
191	338	1425
192	339	1419
193	340	1414
194	341	1409
195	342	1404
196	343	1399
197	344	1393
198	344	1388
199	345	1383
200	346	1378
201	347	1373
202	348	1368
203	349	1363
204	350	1358
205	351	1353
206	352	1348
207	352	1343
208	353	1338
209	354	1334
210	355	1330
211	356	1325
212	357	1320
213	358	1316
214	359	1311
215	360	1309
216	361	1304
217	362	1299
218	363	1295
219	364	1291
220	365	1287
221	366	1282
222	366	1278
223	367	1274
224	368	1269
225	369	1265
226	370	1261
227	371	1256
228	372	1252
229	372	1248
230	373	1244
231	374	1240
232	375	1236
233	376	1232
234	377	1229
235	378	1225
236	379	1221
237	380	1217
238	381	1213
239	381	1209
240	382	1205
241	383	1201
242	384	1198
243	385	1194
244	386	1190
245	387	1186
246	388	1183
247	388	1179
248	389	1175
249	390	1172
250	391	1168
251	392	1165
252	393	1161
253	394	1158
254	395	1154
255	396	1151
256	396	1147
257	397	1144
258	398	1140
259	399	1137
260	400	1133
261	401	1130
262	402	1127
263	403	1124
264	404	1120
265	405	1117
266	405	1114
267	406	1111
268	407	1108
269	408	1104
270	409	1101
271	410	1098
272	411	1095
273	412	1091
274	413	1088
275	413	1085
276	414	1082
277	415	1079
278	416	1076
279	417	1073
280	418	1070
281	419	1067
282	420	1064
283	421	1061
284	422	1058
285	422	1055
286	423	1052
287	424	1049
288	425	1046
289	426	1043
290	427	1040
291	428	1038
292	428	1035
293	429	1032
294	430	1029
295	431	1027
296	432	1024
297	433	1021
298	434	1018
299	435	1015
300	436	1012
301	437	1010
302	437	1007
303	438	1004
304	439	1002
305	440	999
306	441	996
307	442	994
308	443	991
309	444	989
310	445	986
311	446	984
312	447	981
313	448	979
314	449	976
315	449	973
316	450	971
317	451	968
318	452	966
